"Suite","Phase","Method","Total","Concurrency","Log","Qps","P95","P99","Success","Failed","Status","PhaseStartUtc","PhaseEndUtc"
"csredis","warmup","all","500","20","artifacts\chaos-compare\run-20260507-002932\failover\csredis\run-20260507-002932\warmup.log","7.77","7614.53","42588.44","488","12","OK","2026-05-06T16:29:39.0013739Z","2026-05-06T16:30:46.3996945Z"
"csredis","baseline-get","get","5000","100","artifacts\chaos-compare\run-20260507-002932\failover\csredis\run-20260507-002932\baseline-get.log","4840.21","37.12","136.01","5000","0","OK","2026-05-06T16:30:46.4427270Z","2026-05-06T16:30:49.7475194Z"
"csredis","baseline-pipeline","pipeline","5000","100","artifacts\chaos-compare\run-20260507-002932\failover\csredis\run-20260507-002932\baseline-pipeline.log","4150.46","36.87","130.86","5000","0","OK","2026-05-06T16:30:49.7590194Z","2026-05-06T16:30:53.3816545Z"
"csredis","baseline-cacheshell","cacheshell","5000","100","artifacts\chaos-compare\run-20260507-002932\failover\csredis\run-20260507-002932\baseline-cacheshell.log","2508.75","62.62","131.12","5000","0","OK","2026-05-06T16:30:53.3937387Z","2026-05-06T16:30:57.9527831Z"
"csredis","baseline-slot","slot","5000","100","artifacts\chaos-compare\run-20260507-002932\failover\csredis\run-20260507-002932\baseline-slot.log","8449.57","20.36","115.68","5000","0","OK","2026-05-06T16:30:57.9634555Z","2026-05-06T16:31:01.0404930Z"
"csredis","baseline-node","node","500","25","artifacts\chaos-compare\run-20260507-002932\failover\csredis\run-20260507-002932\baseline-node.log","5.74","7417.07","8941.25","500","0","OK","2026-05-06T16:31:01.0846302Z","2026-05-06T16:32:30.6421624Z"
"csredis","mixed","all","20000","200","artifacts\chaos-compare\run-20260507-002932\failover\csredis\run-20260507-002932\mixed.log","55.46","16458.42","20556.54","19680","320","OK","2026-05-06T16:32:30.6606617Z","2026-05-06T16:38:33.7089240Z"
