"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log"
"scale-in","csredis","warmup","all","500","10","241.12","0.24","2061.00","0","500","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\scale-in\csredis\run-iter-03\warmup.log"
"scale-in","csredis","baseline-get","get","2000","40","947.28","1.52","2063.91","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\scale-in\csredis\run-iter-03\baseline-get.log"
"scale-in","csredis","baseline-pipeline","pipeline","2000","40","942.86","1.60","2068.51","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\scale-in\csredis\run-iter-03\baseline-pipeline.log"
"scale-in","csredis","baseline-cacheshell","cacheshell","2000","40","931.14","1.84","2069.02","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\scale-in\csredis\run-iter-03\baseline-cacheshell.log"
"scale-in","csredis","baseline-slot","slot","2000","40","949.20","0.96","2059.62","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\scale-in\csredis\run-iter-03\baseline-slot.log"
"scale-in","csredis","baseline-node","node","200","10","96.56","0.47","2063.12","0","200","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\scale-in\csredis\run-iter-03\baseline-node.log"
"scale-in","csredis","mixed","all","8000","80","3556.13","1.06","12.16","0","8000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\scale-in\csredis\run-iter-03\mixed.log"
"scale-in","stackexchange","warmup","all","500","10","315.50","130.01","173.70","400","100","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\scale-in\stackexchange\run-iter-03\warmup.log"
"scale-in","stackexchange","baseline-get","get","2000","40","3713.27","14.76","139.66","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\scale-in\stackexchange\run-iter-03\baseline-get.log"
"scale-in","stackexchange","baseline-pipeline","pipeline","2000","40","2632.68","22.63","133.03","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\scale-in\stackexchange\run-iter-03\baseline-pipeline.log"
"scale-in","stackexchange","baseline-cacheshell","cacheshell","2000","40","2607.77","20.01","131.47","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\scale-in\stackexchange\run-iter-03\baseline-cacheshell.log"
"scale-in","stackexchange","baseline-slot","slot","2000","40","5580.14","6.43","127.06","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\scale-in\stackexchange\run-iter-03\baseline-slot.log"
"scale-in","stackexchange","baseline-node","node","200","10","13.33","6142.86","7170.69","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\scale-in\stackexchange\run-iter-03\baseline-node.log"
"scale-in","stackexchange","mixed","all","8000","80","586.97","513.83","749.40","6400","1600","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\scale-in\stackexchange\run-iter-03\mixed.log"
