"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log"
"node-down","csredis","warmup","all","500","10","239.75","0.47","2068.22","0","500","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\node-down\csredis\run-iter-02\warmup.log"
"node-down","csredis","baseline-get","get","2000","40","935.63","2.86","2084.34","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\node-down\csredis\run-iter-02\baseline-get.log"
"node-down","csredis","baseline-pipeline","pipeline","2000","40","943.91","1.42","2067.92","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\node-down\csredis\run-iter-02\baseline-pipeline.log"
"node-down","csredis","baseline-cacheshell","cacheshell","2000","40","936.78","2.07","2079.60","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\node-down\csredis\run-iter-02\baseline-cacheshell.log"
"node-down","csredis","baseline-slot","slot","2000","40","945.04","1.32","2066.36","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\node-down\csredis\run-iter-02\baseline-slot.log"
"node-down","csredis","baseline-node","node","200","10","96.56","0.34","2063.45","0","200","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\node-down\csredis\run-iter-02\baseline-node.log"
"node-down","csredis","mixed","all","8000","80","3550.63","1.21","16.23","0","8000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\node-down\csredis\run-iter-02\mixed.log"
"node-down","stackexchange","warmup","all","500","10","414.29","90.65","147.48","392","108","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\node-down\stackexchange\run-iter-02\warmup.log"
"node-down","stackexchange","baseline-get","get","2000","40","2824.00","19.38","132.75","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\node-down\stackexchange\run-iter-02\baseline-get.log"
"node-down","stackexchange","baseline-pipeline","pipeline","2000","40","2660.13","20.79","138.06","1842","158","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\node-down\stackexchange\run-iter-02\baseline-pipeline.log"
"node-down","stackexchange","baseline-cacheshell","cacheshell","2000","40","2548.11","21.90","115.45","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\node-down\stackexchange\run-iter-02\baseline-cacheshell.log"
"node-down","stackexchange","baseline-slot","slot","2000","40","5691.21","8.15","123.75","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\node-down\stackexchange\run-iter-02\baseline-slot.log"
"node-down","stackexchange","baseline-node","node","200","10","14.65","6018.39","7224.05","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\node-down\stackexchange\run-iter-02\baseline-node.log"
"node-down","stackexchange","mixed","all","8000","80","500.79","660.24","1116.04","6554","1446","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\node-down\stackexchange\run-iter-02\mixed.log"
