"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log"
"scale-in","csredis","warmup","all","500","10","295.51","141.61","159.86","400","100","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\scale-in\csredis\run-iter-05\warmup.log"
"scale-in","csredis","baseline-get","get","2000","40","3114.96","17.19","174.18","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\scale-in\csredis\run-iter-05\baseline-get.log"
"scale-in","csredis","baseline-pipeline","pipeline","2000","40","1517.64","81.47","182.56","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\scale-in\csredis\run-iter-05\baseline-pipeline.log"
"scale-in","csredis","baseline-cacheshell","cacheshell","2000","40","1387.36","52.99","136.34","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\scale-in\csredis\run-iter-05\baseline-cacheshell.log"
"scale-in","csredis","baseline-slot","slot","2000","40","3959.75","10.58","203.43","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\scale-in\csredis\run-iter-05\baseline-slot.log"
"scale-in","csredis","baseline-node","node","200","10","41.12","237.13","2421.81","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\scale-in\csredis\run-iter-05\baseline-node.log"
"scale-in","csredis","mixed","all","8000","80","104.73","4271.91","10523.55","6400","1600","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\scale-in\csredis\run-iter-05\mixed.log"
"scale-in","stackexchange","warmup","all","500","10","317.22","120.92","152.34","400","100","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\scale-in\stackexchange\run-iter-05\warmup.log"
"scale-in","stackexchange","baseline-get","get","2000","40","3362.77","20.50","113.92","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\scale-in\stackexchange\run-iter-05\baseline-get.log"
"scale-in","stackexchange","baseline-pipeline","pipeline","2000","40","1884.00","41.38","132.39","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\scale-in\stackexchange\run-iter-05\baseline-pipeline.log"
"scale-in","stackexchange","baseline-cacheshell","cacheshell","2000","40","1540.25","44.69","135.58","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\scale-in\stackexchange\run-iter-05\baseline-cacheshell.log"
"scale-in","stackexchange","baseline-slot","slot","2000","40","4283.81","13.04","129.76","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\scale-in\stackexchange\run-iter-05\baseline-slot.log"
"scale-in","stackexchange","baseline-node","node","200","10","14.76","5096.59","7177.42","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\scale-in\stackexchange\run-iter-05\baseline-node.log"
"scale-in","stackexchange","mixed","all","8000","80","482.67","674.84","898.41","6400","1600","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\scale-in\stackexchange\run-iter-05\mixed.log"
