"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log","FailureClass","FailureReason"
"scale-in","csredis","warmup","all","500","20","10.83","9306.65","12341.84","500","0","OK","artifacts\chaos-compare\run-20260507-225815\scale-in\csredis\run-20260507-225815\warmup.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","csredis","baseline-get","get","5000","100","835.78","250.41","1887.04","5000","0","OK","artifacts\chaos-compare\run-20260507-225815\scale-in\csredis\run-20260507-225815\baseline-get.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","csredis","baseline-pipeline","pipeline","5000","100","384.97","1424.68","2446.25","5000","0","OK","artifacts\chaos-compare\run-20260507-225815\scale-in\csredis\run-20260507-225815\baseline-pipeline.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","csredis","baseline-cacheshell","cacheshell","5000","100","356.03","777.39","2313.07","5000","0","OK","artifacts\chaos-compare\run-20260507-225815\scale-in\csredis\run-20260507-225815\baseline-cacheshell.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","csredis","baseline-slot","slot","5000","100","1125.09","327.01","1769.74","5000","0","OK","artifacts\chaos-compare\run-20260507-225815\scale-in\csredis\run-20260507-225815\baseline-slot.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","csredis","baseline-node","node","500","25","3.50","12287.77","15891.02","500","0","OK","artifacts\chaos-compare\run-20260507-225815\scale-in\csredis\run-20260507-225815\baseline-node.log","mixed_or_unknown","no_single_dominant_pattern"
scale-in,csredis,mixed,"all","20000","200","148.59","7409.23","8395.04","20000",0,"OK","artifacts\chaos-compare\run-20260507-225815\scale-in\csredis\run-20260507-225815\mixed.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","stackexchange",warmup,"all","500","20","3.80","25355.93","61513.45","500","0","OK","artifacts\chaos-compare\run-20260507-225815\scale-in\stackexchange\run-20260507-225815\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","stackexchange","baseline-get","get","5000","100","3705.29","49.64","201.33","5000","0","OK","artifacts\chaos-compare\run-20260507-225815\scale-in\stackexchange\run-20260507-225815\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","stackexchange","baseline-pipeline","pipeline","5000","100","2706.68","69.04","186.17","5000","0","OK","artifacts\chaos-compare\run-20260507-225815\scale-in\stackexchange\run-20260507-225815\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","stackexchange","baseline-cacheshell","cacheshell","5000","100","1605.65","99.89","164.87","5000","0","OK","artifacts\chaos-compare\run-20260507-225815\scale-in\stackexchange\run-20260507-225815\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","stackexchange","baseline-slot","slot","5000","100","3607.18","63.90","188.63","5000","0","OK","artifacts\chaos-compare\run-20260507-225815\scale-in\stackexchange\run-20260507-225815\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","stackexchange","baseline-node","node","500","25","2.30","11607.08","12097.55","500","0","OK","artifacts\chaos-compare\run-20260507-225815\scale-in\stackexchange\run-20260507-225815\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","stackexchange",mixed,"all","20000","200","12.54","96123.01","156293.95","19912",88,"OK","artifacts\chaos-compare\run-20260507-225815\scale-in\stackexchange\run-20260507-225815\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
