"TimestampUtc","Scenario","Event","Detail"
"2026-05-07T14:58:15.1812533Z","scale-in","scenario_start","start scenario execution"
"2026-05-07T14:58:15.1948745Z","scale-in","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-07T14:58:25.2548108Z","scale-in","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-07T14:58:25.2578282Z","scale-in","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-07T14:58:29.1073652Z","scale-in","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-07T14:58:29.1139076Z","scale-in","scalein_reshard_start","source_master=redis-cluster-3, target_master=redis-cluster-1, coordinator=redis-cluster-1"
"2026-05-07T14:59:50.6875679Z","scale-in","scalein_reshard_verified","source_node_id=6801dd12bca4d35201b9e3139e55a186bbf135d5, target_node_id=1ac02f394b3fa7477b2ee701b8d404ef1a109de6, moved_slots=5461"
"2026-05-07T14:59:50.6885664Z","scale-in","persistent_scalein_down_start","stop containers: redis-cluster-3,redis-cluster-6"
"2026-05-07T14:59:53.0242373Z","scale-in","persistent_scalein_down_verified_start","containers_down=redis-cluster-3,redis-cluster-6"
"2026-05-07T14:59:53.0242373Z","scale-in","suite_stress_start","suite=csredis"
"2026-05-07T14:59:53.1132817Z","scale-in","suite_stress_start","suite=stackexchange"
"2026-05-07T14:59:53.2113124Z","scale-in","csredis_cacheshell_probe_start","start extra probe"
"2026-05-07T15:00:18.3805414Z","scale-in","csredis_cacheshell_probe_end","log=artifacts\chaos-compare\run-20260507-225815\scale-in\csredis-cacheshell-probe\probe.log"
"2026-05-07T15:32:54.7437974Z","scale-in","suite_stress_end","suite=csredis"
"2026-05-07T15:32:54.7442977Z","scale-in","suite_stress_end","suite=stackexchange"
"2026-05-07T15:32:54.9695168Z","scale-in","persistent_scalein_down_verified_end","containers_down=redis-cluster-3,redis-cluster-6"
"2026-05-07T15:32:54.9715294Z","scale-in","persistent_scalein_recover_start","recover containers: redis-cluster-3,redis-cluster-6"
"2026-05-07T15:32:56.3002793Z","scale-in","persistent_scalein_recover_end","recover completed: redis-cluster-3,redis-cluster-6"
"2026-05-07T15:33:26.4486470Z","scale-in","scenario_end","scenario summary generated"
