"Scenario","Suite","Success","Failed","SuccessRate","MixedQps","MixedP95","MixedP99","WorstMethodP95Ratio","PassSuccessRate","PassP95Ratio","Verdict","FailureClass","FailureReason"
"node-down","csredis","310","0","100","281.55","143.69","148.53","1.14","True","True","PASS","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","310","0","100","181.19","180.3","180.34","1.57","True","True","PASS","mixed_or_unknown","no_single_dominant_pattern"
