"TimestampUtc","Scenario","Event","Detail"
"2026-05-06T17:13:04.3068188Z","scale-in","scenario_start","start scenario execution"
"2026-05-06T17:13:04.3206562Z","scale-in","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-06T17:13:07.8776622Z","scale-in","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-06T17:13:07.8791597Z","scale-in","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-06T17:13:10.3510248Z","scale-in","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-06T17:13:10.3555761Z","scale-in","scalein_reshard_start","source_master=redis-cluster-3, target_master=redis-cluster-2, coordinator=redis-cluster-2"
"2026-05-06T17:14:13.6739879Z","scale-in","scalein_reshard_verified","source_node_id=2f5c46cb5cf7bd05ed5253eeb427dc964316a4fb, target_node_id=d1892af36cdff200a4c577a144a6ef7bca98691e, moved_slots=5461"
"2026-05-06T17:14:13.6749865Z","scale-in","persistent_scalein_down_start","stop containers: redis-cluster-3,redis-cluster-6"
"2026-05-06T17:14:15.4395879Z","scale-in","persistent_scalein_down_verified_start","containers_down=redis-cluster-3,redis-cluster-6"
"2026-05-06T17:14:15.4395879Z","scale-in","suite_stress_start","suite=csredis"
"2026-05-06T17:14:15.5234931Z","scale-in","suite_stress_start","suite=stackexchange"
"2026-05-06T17:14:15.5675105Z","scale-in","csredis_cacheshell_probe_start","start extra probe"
"2026-05-06T17:14:24.4965188Z","scale-in","csredis_cacheshell_probe_end","log=artifacts\chaos-compare\run-20260507-011304\scale-in\csredis-cacheshell-probe\probe.log"
"2026-05-06T17:38:57.1672245Z","scale-in","suite_stress_end","suite=csredis"
"2026-05-06T17:38:57.1682228Z","scale-in","suite_stress_end","suite=stackexchange"
"2026-05-06T17:38:57.3829230Z","scale-in","persistent_scalein_down_verified_end","containers_down=redis-cluster-3,redis-cluster-6"
"2026-05-06T17:38:57.3849222Z","scale-in","persistent_scalein_recover_start","recover containers: redis-cluster-3,redis-cluster-6"
"2026-05-06T17:38:58.7031823Z","scale-in","persistent_scalein_recover_end","recover completed: redis-cluster-3,redis-cluster-6"
"2026-05-06T17:39:30.3303682Z","scale-in","scenario_end","scenario summary generated"
