"Suite","Phase","Method","Total","Concurrency","Log","Qps","P95","P99","Success","Failed","Status","PhaseStartUtc","PhaseEndUtc"
"stackexchange","warmup","all","500","20","artifacts\chaos-compare\run-20260507-005012\node-down\stackexchange\run-20260507-005012\warmup.log","7.34","11504.98","23955.79","500","0","OK","2026-05-06T16:50:19.7032704Z","2026-05-06T16:51:30.5806739Z"
"stackexchange","baseline-get","get","5000","100","artifacts\chaos-compare\run-20260507-005012\node-down\stackexchange\run-20260507-005012\baseline-get.log","7087.72","19.75","114.73","5000","0","OK","2026-05-06T16:51:30.6322380Z","2026-05-06T16:51:35.1177168Z"
"stackexchange","baseline-pipeline","pipeline","5000","100","artifacts\chaos-compare\run-20260507-005012\node-down\stackexchange\run-20260507-005012\baseline-pipeline.log","2690.78","78.55","189.98","5000","0","OK","2026-05-06T16:51:35.1308163Z","2026-05-06T16:51:40.6738462Z"
"stackexchange","baseline-cacheshell","cacheshell","5000","100","artifacts\chaos-compare\run-20260507-005012\node-down\stackexchange\run-20260507-005012\baseline-cacheshell.log","2351.09","65.11","138.07","5000","0","OK","2026-05-06T16:51:40.6869428Z","2026-05-06T16:51:45.8644576Z"
"stackexchange","baseline-slot","slot","5000","100","artifacts\chaos-compare\run-20260507-005012\node-down\stackexchange\run-20260507-005012\baseline-slot.log","8360.30","15.54","122.06","5000","0","OK","2026-05-06T16:51:45.8780458Z","2026-05-06T16:51:49.1349275Z"
"stackexchange","baseline-node","node","500","25","artifacts\chaos-compare\run-20260507-005012\node-down\stackexchange\run-20260507-005012\baseline-node.log","2.42","11727.08","12442.11","500","0","OK","2026-05-06T16:51:49.1746210Z","2026-05-06T16:55:18.6063290Z"
"stackexchange","mixed","all","20000","200","artifacts\chaos-compare\run-20260507-005012\node-down\stackexchange\run-20260507-005012\mixed.log","29.67","38451.71","79927.55","19977","23","OK","2026-05-06T16:55:18.6214516Z","2026-05-06T17:06:35.4195839Z"
