"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log","FailureClass","FailureReason"
"failover","csredis","warmup","all","500","20","7.77","7614.53","42588.44","488","12","OK","artifacts\chaos-compare\run-20260507-002932\failover\csredis\run-20260507-002932\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-get","get","5000","100","4840.21","37.12","136.01","5000","0","OK","artifacts\chaos-compare\run-20260507-002932\failover\csredis\run-20260507-002932\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-pipeline","pipeline","5000","100","4150.46","36.87","130.86","5000","0","OK","artifacts\chaos-compare\run-20260507-002932\failover\csredis\run-20260507-002932\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-cacheshell","cacheshell","5000","100","2508.75","62.62","131.12","5000","0","OK","artifacts\chaos-compare\run-20260507-002932\failover\csredis\run-20260507-002932\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-slot","slot","5000","100","8449.57","20.36","115.68","5000","0","OK","artifacts\chaos-compare\run-20260507-002932\failover\csredis\run-20260507-002932\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-node","node","500","25","5.74","7417.07","8941.25","500","0","OK","artifacts\chaos-compare\run-20260507-002932\failover\csredis\run-20260507-002932\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","mixed","all","20000","200","55.46","16458.42","20556.54","19680","320","OK","artifacts\chaos-compare\run-20260507-002932\failover\csredis\run-20260507-002932\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","warmup","all","500","20","11.30","9837.06","10023.79","500","0","OK","artifacts\chaos-compare\run-20260507-002932\failover\stackexchange\run-20260507-002932\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-get","get","5000","100","7322.66","24.48","104.90","5000","0","OK","artifacts\chaos-compare\run-20260507-002932\failover\stackexchange\run-20260507-002932\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-pipeline","pipeline","5000","100","4200.41","47.90","129.99","5000","0","OK","artifacts\chaos-compare\run-20260507-002932\failover\stackexchange\run-20260507-002932\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-cacheshell","cacheshell","5000","100","2918.63","56.71","115.76","5000","0","OK","artifacts\chaos-compare\run-20260507-002932\failover\stackexchange\run-20260507-002932\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-slot","slot","5000","100","8661.26","13.31","164.69","5000","0","OK","artifacts\chaos-compare\run-20260507-002932\failover\stackexchange\run-20260507-002932\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-node","node","500","25","3.90","8082.86","9521.51","500","0","OK","artifacts\chaos-compare\run-20260507-002932\failover\stackexchange\run-20260507-002932\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","mixed","all","20000","200","51.33","25100.66","32511.80","19796","204","OK","artifacts\chaos-compare\run-20260507-002932\failover\stackexchange\run-20260507-002932\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
