"Suite","Phase","Method","Total","Concurrency","Log","Qps","P95","P99","Success","Failed","Status","PhaseStartUtc","PhaseEndUtc"
"csredis","warmup","all","500","20","artifacts\chaos-compare\run-20260507-005012\node-down\csredis\run-20260507-005012\warmup.log","7.96","6157.12","47388.09","488","12","OK","2026-05-06T16:50:19.6135585Z","2026-05-06T16:51:25.1983171Z"
"csredis","baseline-get","get","5000","100","artifacts\chaos-compare\run-20260507-005012\node-down\csredis\run-20260507-005012\baseline-get.log","5934.88","26.66","111.31","5000","0","OK","2026-05-06T16:51:25.2371753Z","2026-05-06T16:51:28.4901499Z"
"csredis","baseline-pipeline","pipeline","5000","100","artifacts\chaos-compare\run-20260507-005012\node-down\csredis\run-20260507-005012\baseline-pipeline.log","2719.37","65.61","151.39","5000","0","OK","2026-05-06T16:51:28.5031527Z","2026-05-06T16:51:33.3036243Z"
"csredis","baseline-cacheshell","cacheshell","5000","100","artifacts\chaos-compare\run-20260507-005012\node-down\csredis\run-20260507-005012\baseline-cacheshell.log","1514.92","159.14","212.96","5000","0","OK","2026-05-06T16:51:33.3167463Z","2026-05-06T16:51:39.6695188Z"
"csredis","baseline-slot","slot","5000","100","artifacts\chaos-compare\run-20260507-005012\node-down\csredis\run-20260507-005012\baseline-slot.log","7012.78","22.32","119.13","5000","0","OK","2026-05-06T16:51:39.6994665Z","2026-05-06T16:51:43.7781767Z"
"csredis","baseline-node","node","500","25","artifacts\chaos-compare\run-20260507-005012\node-down\csredis\run-20260507-005012\baseline-node.log","7.35","6342.45","7791.34","500","0","OK","2026-05-06T16:51:43.8106266Z","2026-05-06T16:52:55.2931748Z"
"csredis","mixed","all","20000","200","artifacts\chaos-compare\run-20260507-005012\node-down\csredis\run-20260507-005012\mixed.log","144.15","3617.59","20566.79","19839","161","OK","2026-05-06T16:52:55.3092231Z","2026-05-06T16:55:16.5744167Z"
