"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log"
"scale-in","csredis","warmup","all","500","10","238.89","0.21","2066.91","0","500","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\scale-in\csredis\run-iter-02\warmup.log"
"scale-in","csredis","baseline-get","get","2000","40","939.70","1.99","2078.38","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\scale-in\csredis\run-iter-02\baseline-get.log"
"scale-in","csredis","baseline-pipeline","pipeline","2000","40","938.55","2.06","2076.83","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\scale-in\csredis\run-iter-02\baseline-pipeline.log"
"scale-in","csredis","baseline-cacheshell","cacheshell","2000","40","945.08","1.68","2063.65","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\scale-in\csredis\run-iter-02\baseline-cacheshell.log"
"scale-in","csredis","baseline-slot","slot","2000","40","946.78","1.06","2062.27","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\scale-in\csredis\run-iter-02\baseline-slot.log"
"scale-in","csredis","baseline-node","node","200","10","96.60","0.29","2063.04","0","200","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\scale-in\csredis\run-iter-02\baseline-node.log"
"scale-in","csredis","mixed","all","8000","80","3543.80","1.29","13.11","0","8000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\scale-in\csredis\run-iter-02\mixed.log"
"scale-in","stackexchange","warmup","all","500","10","412.58","87.73","167.07","400","100","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\scale-in\stackexchange\run-iter-02\warmup.log"
"scale-in","stackexchange","baseline-get","get","2000","40","2930.21","19.98","129.09","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\scale-in\stackexchange\run-iter-02\baseline-get.log"
"scale-in","stackexchange","baseline-pipeline","pipeline","2000","40","2058.25","42.09","136.54","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\scale-in\stackexchange\run-iter-02\baseline-pipeline.log"
"scale-in","stackexchange","baseline-cacheshell","cacheshell","2000","40","2578.77","20.69","119.27","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\scale-in\stackexchange\run-iter-02\baseline-cacheshell.log"
"scale-in","stackexchange","baseline-slot","slot","2000","40","5265.01","8.23","128.94","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\scale-in\stackexchange\run-iter-02\baseline-slot.log"
"scale-in","stackexchange","baseline-node","node","200","10","13.58","6102.06","7166.89","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\scale-in\stackexchange\run-iter-02\baseline-node.log"
"scale-in","stackexchange","mixed","all","8000","80","560.01","600.91","859.39","6400","1600","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\scale-in\stackexchange\run-iter-02\mixed.log"
