"Iteration","Scenario","Suite","Success","Failed","SuccessRate","MixedQps","MixedP95","MixedP99","WorstMethodP95Ratio","Verdict","FailureClass","FailureReason"
"1","node-down","csredis","310","0","100","281.55","143.69","148.53","1.14","PASS","mixed_or_unknown","no_single_dominant_pattern"
"1","node-down","stackexchange","310","0","100","181.19","180.3","180.34","1.57","PASS","mixed_or_unknown","no_single_dominant_pattern"
