"Scenario","Suite","Runs","PassCount","FailCount","AvgSuccessRate","AvgMixedQps","AvgMixedP95","AvgMixedP99","AvgWorstMethodP95Ratio","TopFailureClass"
"node-down","csredis","1","1","0","100","281.55","143.69","148.53","1.14","mixed_or_unknown"
"node-down","stackexchange","1","1","0","100","181.19","180.3","180.34","1.57","mixed_or_unknown"
