"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log"
"scale-in","csredis","warmup","all","500","10","242.26","0.21","2052.15","0","500","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\csredis\run-iter-01\warmup.log"
"scale-in","csredis","baseline-get","get","2000","40","928.97","2.80","2104.05","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\csredis\run-iter-01\baseline-get.log"
"scale-in","csredis","baseline-pipeline","pipeline","2000","40","949.72","0.80","2063.80","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\csredis\run-iter-01\baseline-pipeline.log"
"scale-in","csredis","baseline-cacheshell","cacheshell","2000","40","944.15","1.36","2072.35","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\csredis\run-iter-01\baseline-cacheshell.log"
"scale-in","csredis","baseline-slot","slot","2000","40","955.62","0.36","2049.13","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\csredis\run-iter-01\baseline-slot.log"
"scale-in","csredis","baseline-node","node","200","10","97.20","0.28","2050.99","0","200","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\csredis\run-iter-01\baseline-node.log"
"scale-in","csredis","mixed","all","8000","80","3633.20","0.75","8.31","0","8000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\csredis\run-iter-01\mixed.log"
"scale-in","stackexchange","warmup","all","500","10","424.68","95.05","133.88","400","100","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\stackexchange\run-iter-01\warmup.log"
"scale-in","stackexchange","baseline-get","get","2000","40","2961.24","26.21","110.61","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\stackexchange\run-iter-01\baseline-get.log"
"scale-in","stackexchange","baseline-pipeline","pipeline","2000","40","2386.06","29.33","128.28","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\stackexchange\run-iter-01\baseline-pipeline.log"
"scale-in","stackexchange","baseline-cacheshell","cacheshell","2000","40","2401.15","23.42","119.11","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\stackexchange\run-iter-01\baseline-cacheshell.log"
"scale-in","stackexchange","baseline-slot","slot","2000","40","5601.32","7.78","102.49","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\stackexchange\run-iter-01\baseline-slot.log"
"scale-in","stackexchange","baseline-node","node","200","10","12.42","7052.67","7185.20","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\stackexchange\run-iter-01\baseline-node.log"
"scale-in","stackexchange","mixed","all","8000","80","526.68","604.23","975.27","6400","1600","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\stackexchange\run-iter-01\mixed.log"
