"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log"
"node-down","csredis","warmup","all","500","10","239.58","0.40","2071.05","0","500","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\csredis\run-iter-03\warmup.log"
"node-down","csredis","baseline-get","get","2000","40","940.81","2.15","2077.79","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\csredis\run-iter-03\baseline-get.log"
"node-down","csredis","baseline-pipeline","pipeline","2000","40","946.15","1.11","2061.95","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\csredis\run-iter-03\baseline-pipeline.log"
"node-down","csredis","baseline-cacheshell","cacheshell","2000","40","945.60","1.57","2063.21","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\csredis\run-iter-03\baseline-cacheshell.log"
"node-down","csredis","baseline-slot","slot","2000","40","948.06","1.07","2063.49","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\csredis\run-iter-03\baseline-slot.log"
"node-down","csredis","baseline-node","node","200","10","96.74","0.32","2060.35","0","200","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\csredis\run-iter-03\baseline-node.log"
"node-down","csredis","mixed","all","8000","80","3490.42","1.97","26.51","0","8000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\csredis\run-iter-03\mixed.log"
"node-down","stackexchange","warmup","all","500","10","430.78","81.95","151.49","391","109","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\stackexchange\run-iter-03\warmup.log"
"node-down","stackexchange","baseline-get","get","2000","40","3203.07","16.10","123.84","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\stackexchange\run-iter-03\baseline-get.log"
"node-down","stackexchange","baseline-pipeline","pipeline","2000","40","2387.69","24.20","140.77","1813","187","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\stackexchange\run-iter-03\baseline-pipeline.log"
"node-down","stackexchange","baseline-cacheshell","cacheshell","2000","40","2493.28","20.29","149.23","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\stackexchange\run-iter-03\baseline-cacheshell.log"
"node-down","stackexchange","baseline-slot","slot","2000","40","5657.66","7.95","121.39","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\stackexchange\run-iter-03\baseline-slot.log"
"node-down","stackexchange","baseline-node","node","200","10","13.55","5602.39","7167.69","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\stackexchange\run-iter-03\baseline-node.log"
"node-down","stackexchange","mixed","all","8000","80","594.78","541.46","761.65","6535","1465","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\stackexchange\run-iter-03\mixed.log"
