"Suite","Phase","Method","Total","Concurrency","Log","Qps","P95","P99","Success","Failed","Status"
"stackexchange","warmup","all","500","10","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\stackexchange\run-iter-04\warmup.log","445.53","88.38","164.14","400","100","OK"
"stackexchange","baseline-get","get","2000","40","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\stackexchange\run-iter-04\baseline-get.log","4173.05","13.95","117.15","2000","0","OK"
"stackexchange","baseline-pipeline","pipeline","2000","40","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\stackexchange\run-iter-04\baseline-pipeline.log","2497.54","26.56","142.22","2000","0","OK"
"stackexchange","baseline-cacheshell","cacheshell","2000","40","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\stackexchange\run-iter-04\baseline-cacheshell.log","2403.51","31.05","119.19","0","2000","OK"
"stackexchange","baseline-slot","slot","2000","40","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\stackexchange\run-iter-04\baseline-slot.log","5378.18","9.29","123.22","2000","0","OK"
"stackexchange","baseline-node","node","200","10","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\stackexchange\run-iter-04\baseline-node.log","13.12","6969.12","7287.75","200","0","OK"
"stackexchange","mixed","all","8000","80","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\stackexchange\run-iter-04\mixed.log","576.24","559.58","812.06","6400","1600","OK"
