"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log"
"failover","csredis","warmup","all","500","10","176.12","174.64","833.91","500","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\failover\csredis\run-iter-01\warmup.log"
"failover","csredis","baseline-get","get","2000","40","4074.60","20.79","118.19","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-get.log"
"failover","csredis","baseline-pipeline","pipeline","2000","40","128.26","2968.69","7278.46","139","1861","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-pipeline.log"
"failover","csredis","baseline-cacheshell","cacheshell","2000","40","944.23","1.48","2067.96","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-cacheshell.log"
"failover","csredis","baseline-slot","slot","2000","40","940.29","2.26","2081.49","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-slot.log"
"failover","csredis","baseline-node","node","200","10","96.10","0.48","2071.53","0","200","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-node.log"
"failover","csredis","mixed","all","8000","80","3516.81","1.22","14.78","0","8000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\failover\csredis\run-iter-01\mixed.log"
"failover","stackexchange","warmup","all","500","10","236.34","146.19","305.66","500","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\failover\stackexchange\run-iter-01\warmup.log"
"failover","stackexchange","baseline-get","get","2000","40","3012.62","37.18","113.44","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-get.log"
"failover","stackexchange","baseline-pipeline","pipeline","2000","40","171.42","140.03","5943.16","1920","80","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-pipeline.log"
"failover","stackexchange","baseline-cacheshell","cacheshell","2000","40","1565.29","35.78","133.58","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-cacheshell.log"
"failover","stackexchange","baseline-slot","slot","2000","40","4659.88","10.86","113.51","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-slot.log"
"failover","stackexchange","baseline-node","node","200","10","72.43","231.75","834.61","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-node.log"
"failover","stackexchange","mixed","all","8000","80","445.90","728.01","1133.55","7496","504","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\failover\stackexchange\run-iter-01\mixed.log"
