"TimestampUtc","Scenario","Event","Detail"
"2026-05-07T16:41:25.5809012Z","failover","scenario_start","start scenario execution"
"2026-05-07T16:41:25.5919427Z","failover","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-07T16:41:28.7049161Z","failover","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-07T16:41:28.7064384Z","failover","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-07T16:41:31.7564647Z","failover","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-07T16:41:31.7579696Z","failover","persistent_master_down_start","stop failover master before stress: redis-cluster-1"
"2026-05-07T16:41:32.7877039Z","failover","persistent_master_down_verified_start","container_running=False"
"2026-05-07T16:41:32.7882037Z","failover","suite_stress_start","suite=csredis"
"2026-05-07T16:41:32.8544732Z","failover","suite_stress_start","suite=stackexchange"
"2026-05-07T16:41:32.8966628Z","failover","csredis_cacheshell_probe_start","start extra probe"
"2026-05-07T16:55:35.3150303Z","failover","csredis_cacheshell_probe_end","log=artifacts\chaos-compare\run-20260508-004125\failover\csredis-cacheshell-probe\probe.log"
"2026-05-07T17:24:34.1544414Z","failover","suite_stress_end","suite=csredis"
"2026-05-07T17:24:34.1544414Z","failover","suite_stress_end","suite=stackexchange"
"2026-05-07T17:24:34.2548818Z","failover","persistent_master_down_verified_end","container_running=False"
"2026-05-07T17:24:34.2563819Z","failover","persistent_master_recover_start","recover failover master: redis-cluster-1"
"2026-05-07T17:24:35.0878927Z","failover","persistent_master_recover_end","recover completed: redis-cluster-1"
"2026-05-07T17:25:16.4410377Z","failover","scenario_end","scenario summary generated"
