"Suite","Phase","Method","Total","Concurrency","Log","Qps","P95","P99","Success","Failed","Status"
"csredis","warmup","all","50","10","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\csredis\run-iter-01\warmup.log","122.81","180.26","248.90","50","0","OK"
"csredis","baseline-get","get","200","40","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-get.log","995.43","174.72","175.94","200","0","OK"
"csredis","baseline-pipeline","pipeline","200","40","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-pipeline.log","891.63","188.73","190.56","200","0","OK"
"csredis","baseline-cacheshell","cacheshell","200","40","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-cacheshell.log","460.30","315.10","324.05","200","0","OK"
"csredis","baseline-slot","slot","200","40","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-slot.log","1159.44","154.26","155.57","200","0","OK"
"csredis","baseline-node","node","100","10","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-node.log","3.87","9608.75","17977.60","43","57","OK"
"csredis","mixed","all","800","80","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\csredis\run-iter-01\mixed.log","383.92","2032.95","2066.51","0","800","OK"
