"TimestampUtc","Scenario","Event","Detail"
"2026-05-06T16:50:12.5682691Z","node-down","scenario_start","start scenario execution"
"2026-05-06T16:50:12.5789360Z","node-down","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-06T16:50:15.0014653Z","node-down","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-06T16:50:15.0029734Z","node-down","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-06T16:50:17.2701878Z","node-down","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-06T16:50:17.2747216Z","node-down","persistent_pair_down_start","stop node-down pair before stress: master=redis-cluster-1, replica=redis-cluster-4"
"2026-05-06T16:50:18.8013114Z","node-down","persistent_pair_down_verified_start","master_running=False, replica_running=False"
"2026-05-06T16:50:18.8018202Z","node-down","suite_stress_start","suite=csredis"
"2026-05-06T16:50:18.8921146Z","node-down","suite_stress_start","suite=stackexchange"
"2026-05-06T16:50:19.0359536Z","node-down","csredis_cacheshell_probe_start","start extra probe"
"2026-05-06T16:51:11.9990000Z","node-down","csredis_cacheshell_probe_end","log=artifacts\chaos-compare\run-20260507-005012\node-down\csredis-cacheshell-probe\probe.log"
"2026-05-06T17:06:35.4651368Z","node-down","suite_stress_end","suite=csredis"
"2026-05-06T17:06:35.4651368Z","node-down","suite_stress_end","suite=stackexchange"
"2026-05-06T17:06:35.6743379Z","node-down","persistent_pair_down_verified_end","master_running=False, replica_running=False"
"2026-05-06T17:06:35.6758450Z","node-down","persistent_pair_recover_start","recover node-down pair: master=redis-cluster-1, replica=redis-cluster-4"
"2026-05-06T17:06:37.0319424Z","node-down","persistent_pair_recover_end","recover completed: master=redis-cluster-1, replica=redis-cluster-4"
"2026-05-06T17:07:48.4256449Z","node-down","scenario_end","scenario summary generated"
