"Suite","Phase","Method","Total","Concurrency","Log","Qps","P95","P99","Success","Failed","Status"
"stackexchange","warmup","all","500","10","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\stackexchange\run-iter-03\warmup.log","430.78","81.95","151.49","391","109","OK"
"stackexchange","baseline-get","get","2000","40","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\stackexchange\run-iter-03\baseline-get.log","3203.07","16.10","123.84","2000","0","OK"
"stackexchange","baseline-pipeline","pipeline","2000","40","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\stackexchange\run-iter-03\baseline-pipeline.log","2387.69","24.20","140.77","1813","187","OK"
"stackexchange","baseline-cacheshell","cacheshell","2000","40","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\stackexchange\run-iter-03\baseline-cacheshell.log","2493.28","20.29","149.23","0","2000","OK"
"stackexchange","baseline-slot","slot","2000","40","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\stackexchange\run-iter-03\baseline-slot.log","5657.66","7.95","121.39","2000","0","OK"
"stackexchange","baseline-node","node","200","10","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\stackexchange\run-iter-03\baseline-node.log","13.55","5602.39","7167.69","200","0","OK"
"stackexchange","mixed","all","8000","80","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\node-down\stackexchange\run-iter-03\mixed.log","594.78","541.46","761.65","6535","1465","OK"
