"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log"
"failover","csredis","warmup","all","500","10","163.23","224.38","291.05","500","0","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\failover\csredis\run-iter-02\warmup.log"
"failover","csredis","baseline-get","get","2000","40","2215.26","29.53","182.62","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\failover\csredis\run-iter-02\baseline-get.log"
"failover","csredis","baseline-pipeline","pipeline","2000","40","117.70","2744.61","6938.21","123","1877","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\failover\csredis\run-iter-02\baseline-pipeline.log"
"failover","csredis","baseline-cacheshell","cacheshell","2000","40","936.97","1.07","2067.32","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\failover\csredis\run-iter-02\baseline-cacheshell.log"
"failover","csredis","baseline-slot","slot","2000","40","923.10","2.11","2092.11","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\failover\csredis\run-iter-02\baseline-slot.log"
"failover","csredis","baseline-node","node","200","10","94.94","1.08","2097.44","0","200","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\failover\csredis\run-iter-02\baseline-node.log"
"failover","csredis","mixed","all","8000","80","3480.19","1.29","29.40","0","8000","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\failover\csredis\run-iter-02\mixed.log"
"failover","stackexchange","warmup","all","500","10","161.37","220.08","340.46","500","0","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\failover\stackexchange\run-iter-02\warmup.log"
"failover","stackexchange","baseline-get","get","2000","40","1975.91","37.10","149.52","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\failover\stackexchange\run-iter-02\baseline-get.log"
"failover","stackexchange","baseline-pipeline","pipeline","2000","40","318.02","43.35","5480.93","1284","716","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\failover\stackexchange\run-iter-02\baseline-pipeline.log"
"failover","stackexchange","baseline-cacheshell","cacheshell","2000","40","1425.19","44.89","158.77","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\failover\stackexchange\run-iter-02\baseline-cacheshell.log"
"failover","stackexchange","baseline-slot","slot","2000","40","4710.20","10.71","135.93","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\failover\stackexchange\run-iter-02\baseline-slot.log"
"failover","stackexchange","baseline-node","node","200","10","45.47","158.64","2847.65","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\failover\stackexchange\run-iter-02\baseline-node.log"
"failover","stackexchange","mixed","all","8000","80","454.67","692.38","1345.87","7495","505","OK","artifacts\chaos-10x\batch-real5x10\iter-02\run-iter-02\failover\stackexchange\run-iter-02\mixed.log"
