"Suite","Phase","Method","Total","Concurrency","Log","Qps","P95","P99","Success","Failed","Status"
"csredis","warmup","all","10","2","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis\run-iter-01\warmup.log","42.22","149.16","149.16","10","0","OK"
"csredis","baseline-get","get","30","6","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-get.log","7.03","4245.98","4246.01","14","16","OK"
"csredis","baseline-pipeline","pipeline","30","6","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-pipeline.log","13.68","2114.78","2114.79","30","0","OK"
"csredis","baseline-cacheshell","cacheshell","30","6","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-cacheshell.log","177.24","143.09","143.11","30","0","OK"
"csredis","baseline-slot","slot","30","6","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-slot.log","169.29","161.67","161.69","30","0","OK"
"csredis","baseline-node","node","100","4","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-node.log","60.40","124.86","292.83","100","0","OK"
"csredis","mixed","all","80","10","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis\run-iter-01\mixed.log","275.31","148.83","157.54","80","0","OK"
