"Suite","Phase","Method","Total","Concurrency","Log","Qps","P95","P99","Success","Failed","Status","PhaseStartUtc","PhaseEndUtc"
"stackexchange","warmup","all","500","20","artifacts\chaos-compare\run-20260507-011304\scale-in\stackexchange\run-20260507-011304\warmup.log","6.58","15300.94","25528.33","500","0","OK","2026-05-06T17:14:16.1038781Z","2026-05-06T17:15:35.1804290Z"
"stackexchange","baseline-get","get","5000","100","artifacts\chaos-compare\run-20260507-011304\scale-in\stackexchange\run-20260507-011304\baseline-get.log","6972.83","22.35","112.90","5000","0","OK","2026-05-06T17:15:35.2235078Z","2026-05-06T17:15:38.2914810Z"
"stackexchange","baseline-pipeline","pipeline","5000","100","artifacts\chaos-compare\run-20260507-011304\scale-in\stackexchange\run-20260507-011304\baseline-pipeline.log","4439.23","37.44","150.61","5000","0","OK","2026-05-06T17:15:38.3090985Z","2026-05-06T17:15:42.5715940Z"
"stackexchange","baseline-cacheshell","cacheshell","5000","100","artifacts\chaos-compare\run-20260507-011304\scale-in\stackexchange\run-20260507-011304\baseline-cacheshell.log","2235.00","75.87","148.30","5000","0","OK","2026-05-06T17:15:42.5863315Z","2026-05-06T17:15:47.6708293Z"
"stackexchange","baseline-slot","slot","5000","100","artifacts\chaos-compare\run-20260507-011304\scale-in\stackexchange\run-20260507-011304\baseline-slot.log","6928.94","19.89","159.72","5000","0","OK","2026-05-06T17:15:47.6879295Z","2026-05-06T17:15:51.5039863Z"
"stackexchange","baseline-node","node","500","25","artifacts\chaos-compare\run-20260507-011304\scale-in\stackexchange\run-20260507-011304\baseline-node.log","2.19","12927.57","13896.26","500","0","OK","2026-05-06T17:15:51.5216272Z","2026-05-06T17:19:43.0715517Z"
"stackexchange","mixed","all","20000","200","artifacts\chaos-compare\run-20260507-011304\scale-in\stackexchange\run-20260507-011304\mixed.log","17.37","72852.95","155373.82","19956","44","OK","2026-05-06T17:19:43.0891133Z","2026-05-06T17:38:57.0996414Z"
